Ind.ID origin.pop pred.pop BM BN ITCS SICO SP CROA FR GR MAC
BM_1 BM GR 0.307882377319397 0.0326355420422902 0.00772041376747858 0.009139710650942 0.0141082743741092 0.027940053596802 0.00526518389451381 0.538315617232893 0.0569928271215739
BM_7 BM GR 0.309367589126939 0.0363809121609987 0.00601635580493131 0.00602010159481854 0.00544361688655507 0.0307425719216845 0.00431797734275349 0.541203537241307 0.0605073379200129
BM_9 BM GR 0.31113151107836 0.0366454848181544 0.0114330547665241 0.0113450411854145 0.00918800286210757 0.0275121757140105 0.0101220301046474 0.532016201608492 0.0506064978622889
BM_11 BM GR 0.307978411451573 0.0387972057860824 0.0233709071225808 0.0134696671992707 0.00956119372775855 0.0254377828161902 0.0130883140813165 0.511372389628132 0.0569241281870949
BM_12 BM GR 0.312710020023152 0.0375438001305168 0.00554975091145021 0.00559921680169838 0.00804754677504869 0.0282050002141828 0.00337884395940175 0.540638978822326 0.0583268423622237
BM_15 BM GR 0.313727256254214 0.0382206883304405 0.00563519841841374 0.00516822343861357 0.00889378156839408 0.0275545497069547 0.00319216017591466 0.53606740719855 0.061540734908505
BM_16 BM GR 0.307897457287315 0.0364864286996053 0.00517054808830803 0.00528396427355619 0.00426864125990929 0.0316025304403927 0.00376073430164153 0.543769609876582 0.0617600857726904
BM_20 BM GR 0.313092395805957 0.041609176697299 0.00247736351160472 0.00220940129330158 0.00411435717371025 0.0286095769568655 0.00123736705180101 0.54036750226005 0.0662828592494104
BM_27 BM GR 0.288582597381176 0.0309331561238073 0.0189399596267994 0.0311153366478463 0.0282676320935643 0.0256159162225003 0.0225743499734771 0.512159611335591 0.0418114405952386
BM_29 BM GR 0.305616789026869 0.0320053041089978 0.0101608475527452 0.0109592311071874 0.00758000852496756 0.0308411146576034 0.00971959168395611 0.538583009200061 0.0545341041376131
BM_33 BM GR 0.307183845619912 0.0414906504471089 0.00332790146535393 0.00252234297489301 0.00144252749049523 0.0323042590595087 0.00239457724182094 0.535857950220992 0.073475945479915
BM_41 BM GR 0.315431943683857 0.0411431767106226 0.00486613117398885 0.00417219920497157 0.00477316808379847 0.0281199915929146 0.00285013647222942 0.539066818553839 0.0595764345237789
BM_42 BM GR 0.317192557383348 0.0434340141884915 0.00445973634262229 0.0034708631238989 0.0029687859752304 0.0278183782620549 0.00269200259385848 0.539415135256641 0.0585485268738547
BM_44 BM GR 0.312210527008397 0.0411167147674899 0.00591488735026296 0.00416354488604396 0.00239467546854344 0.0304940206030469 0.00403972378517232 0.533430840665834 0.0662350654652094
BM_45 BM GR 0.314170203269588 0.040755795107494 0.00688842925499574 0.00473553633603722 0.00371396113848792 0.0291265397448728 0.00426257107762329 0.531683560143392 0.0646634039275098
BN_4 BN GR 0.304181544927056 0.03232132920384 0.0161072136718703 0.0162215163350023 0.0146145444532762 0.0266930328312211 0.0123735289000921 0.522281280638696 0.0552060090389457
BN_6 BN GR 0.31465038384475 0.0408746066290094 0.00512370295225674 0.00447644130786615 0.00445534705429888 0.0284635415831861 0.00320723808733365 0.539719233630183 0.0590295049111157
ITCS_3 ITCS FR 0.005712241170949 0.0047794909117391 0.236115250986981 0.219881652269763 0.0581450817114399 0.00370923992546773 0.460322199594229 0.00443080637600785 0.00690403705342351
ITCS_8 ITCS FR 0.003396867054471 0.00308934523456275 0.238455888306087 0.224732542273189 0.0633569261590435 0.00267026560255738 0.457850464690908 0.00214482468441642 0.00430287599476488
ITCS_13 ITCS FR 0.0161178532576121 0.00715601103887951 0.233053585184103 0.208797110256373 0.0502208897278586 0.00854722761320202 0.449868151416845 0.0174210530690495 0.00881811843607677
ITCS_18 ITCS FR 0.012902497067547 0.00650723697032794 0.243603051201647 0.209114800981607 0.0434848209751214 0.00795474678978911 0.453067141708817 0.015456522228125 0.00790918207701971
ITCS_22 ITCS FR 0.0742921765147546 0.0216574624666482 0.182973748692342 0.164107256289275 0.0368008354459628 0.0196499568604972 0.338694449927867 0.135077176425753 0.0267469373769005
ITCS_26 ITCS FR 0.0198440401891918 0.00956984751258562 0.236602871789091 0.198783860272891 0.0363598218956529 0.010521069555554 0.444914115599924 0.0309866154726534 0.0124177577124569
ITCS_29 ITCS FR 0.00500499064653763 0.00257226483562323 0.238159669271647 0.214445692357496 0.0650131118717081 0.00432307161068527 0.462629232705389 0.00436125166697865 0.00349071503393445
ITCS_32 ITCS FR 0.00403123873092003 0.00220785038963144 0.26620348131188 0.209595383549906 0.046387101828728 0.00436405583439606 0.460475521426263 0.0041605834440421 0.00257478348423405
ITCS_33 ITCS FR 0.036503177977317 0.0137903059407215 0.220855063183746 0.163301901006271 0.0238004014774332 0.0188303882564247 0.421003147583018 0.0847712444348486 0.0171443701402201
ITCS_34 ITCS FR 0.0228237047489419 0.00824761318195927 0.236430482926999 0.199342930413125 0.0351898664697479 0.0137731375363881 0.439834274817186 0.0354965301699056 0.00886145973574762
ITCS_35 ITCS FR 0.00514493738136632 0.00303607020643587 0.248236993853429 0.216172058652676 0.055429099891131 0.00427859347137057 0.459555656116554 0.00433360136944463 0.0038129890575927
ITCS_37 ITCS FR 0.0308502109245509 0.0189719329550005 0.232518312758126 0.203097399065039 0.0338421728422168 0.0124248408630768 0.376253282729914 0.0623473396707101 0.0296945081913659
ITCS_38 ITCS FR 0.0305369820916754 0.00694218415404797 0.205829572668668 0.208387544169925 0.0603098681515761 0.01577100956439 0.436349424575293 0.028618296821013 0.00725511780341178
