,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,
,,,,,,,,,,1,,,,,1,,,,,2,,,,,2,,,,,3,,,,,3,,,,,4,,,,,4,,,,,5,,,,,5,,,,,6,,,,,6,,,,,7,,,,,7,,,,,8,,,,,8,,,,,9,,,,,9,,,,,0,,,,,0,,,,,1,,,,1,,,,,
,,,,,5,,,,,0,,,,,5,,,,,0,,,,,5,,,,,0,,,,,5,,,,,0,,,,,5,,,,,0,,,,,5,,,,,0,,,,,5,,,,,0,,,,,5,,,,,0,,,,,5,,,,,0,,,,,5,,,,,0,,,,,5,,,,,0,,,,4,,,,,
P. sylvia,2,0,0,0,2,-,-,0,1,?,0,?,-,0,0,2,-,?,?,0,-,-,0,?,-,?,0,-,4,0,3,0,3,0,0,3,0,0,-,0,-,-,-,-,-,-,-,?,-,?,?,?,?,?,0,-,0,0,?,-,4,0,?,-,-,0,0,0,?,?,?,?,-,0,?,1,0,0,-,4,-,?,0,-,?,-,0,0,-,0,3,?,-,0,1,0,-,0,1,?,0,?,-,-,1,0,4,0,0,0,4,0,?,0,,,,,
B. austenia,0,1,0,0,0,-,-,0,0,?,0,?,-,0,1,?,-,?,?,1,-,-,?,?,-,?,0,-,0,?,3,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,?,-,?,?,?,?,0,0,-,0,1,0,-,4,0,0,-,-,0,1,0,?,?,?,?,-,0,?,1,1,0,-,4,-,?,0,-,1,-,0,0,-,0,3,?,-,1,0,?,-,?,1,?,1,0,-,-,0,0,4,0,0,0,D,0,?,0,,,,,
P. lucretia,0,0,1,0,3,-,-,0,0,?,0,?,-,0,1,?,-,?,?,0,-,-,?,?,-,?,0,-,0,?,3,0,?,?,0,?,1,?,-,0,-,-,-,-,-,-,-,?,-,?,?,?,?,?,1,-,1,0,0,-,8,0,0,-,-,1,1,1,1,1,0,0,-,0,?,2,0,1,-,5,-,?,1,-,?,-,0,1,-,1,0,0,-,0,1,0,-,0,1,?,0,0,-,-,1,0,B,0,0,0,4,0,?,4,,,,,
N. hylas,0,0,0,0,0,-,-,?,0,?,0,?,-,1,1,?,-,?,0,0,-,-,?,0,-,?,0,-,0,?,3,1,?,?,0,?,0,4,-,0,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,-,0,0,1,-,7,0,?,-,-,0,4,0,?,?,?,?,-,0,?,1,1,1,-,0,-,0,0,-,1,-,0,0,-,1,0,0,-,0,0,?,-,?,1,?,1,1,-,-,0,0,1,0,0,0,3,0,?,0,,,,,
B. lorquini,0,0,1,1,0,-,-,?,0,?,0,?,-,0,1,?,-,0,0,0,-,-,0,0,-,?,0,-,0,0.1,3,?,0,0,0,0,0,4,-,0,-,-,-,-,-,-,-,?,-,?,?,0,0,0,0,-,0,0,0,-,4,0,0,-,-,1,1,1,1,1,0,0,-,0,?,2,0,0,-,1,-,?,0,-,1,-,0,0,-,0,0,0,-,1,1,0,-,0,0,0,1,0,-,-,0,2,7,1,?,0,A,1,4,0,,,,,
B. weidermeyeri,0,0,1,1,0,-,-,?,0,?,0,?,-,0,1,?,-,?,0,0,-,-,0,0,-,?,0,-,3,?,3,?,0,3,0,0,0,0,-,0,-,-,-,-,-,-,-,?,-,?,?,0,0,0,0,-,0,0,0,-,4,0,0,-,-,1,1,1,1,1,0,0,-,0,?,2,0,0,-,1,-,?,0,-,1,-,0,0,-,0,0,0,-,1,1,0,-,0,0,0,1,0,-,-,0,2,7,1,?,0,A,1,4,0,,,,,
B. archippus,0,1,1,1,0,-,-,?,0,?,0,?,-,0,0,?,-,0,0,?,-,-,1,1,-,2,0,-,3,0,3,1,?,?,0,?,1,?,-,0,-,-,-,-,-,-,-,0,-,?,1,5,0,0,0,-,0,0,0,-,4,0,0,-,-,1,2,1,1,1,0,0,-,0,?,?,0,?,-,?,-,?,?,-,?,-,0,0,-,0,0,0,-,1,1,0,-,0,0,0,1,0,-,-,0,2,7,1,?,0,A,1,4,0,,,,,
