ID,UTMX,UTMY,Genus
169,372331.5778,9929705.61,Alouatta
170,372334.5743,9929457.493,Alouatta
171,372380.0471,9929644.599,Alouatta
172,372183.2854,9929801.091,Alouatta
173,372018.5684,9930093.738,Alouatta
174,372336.0942,9929542.315,Alouatta
175,371894.6143,9930117.5,Alouatta
176,372061.0562,9930021.671,Alouatta
177,372052.6581,9929725.073,Alouatta
178,372480.9899,9929440.867,Alouatta
179,372166.087,9929741.571,Alouatta
180,372149.035,9929111.919,Alouatta
181,372454.3609,9929508.69,Alouatta
182,372279.3711,9929005.213,Alouatta
183,372379.3262,9929250.623,Alouatta
184,372136.6774,9929609.179,Alouatta
185,371677.3184,9930029.369,Alouatta
186,371454.278,9929995.827,Alouatta
187,372200.7117,9929658.508,Aotus
188,372313.9553,9929598.837,Aotus
189,372049.9426,9929472.547,Aotus
190,372042.5533,9929463.986,Aotus
191,372080.579,9929618.581,Aotus
192,372051,9929524.9,Aotus
193,372094.9192,9929490.237,Aotus
194,372066.3724,9929603.772,Aotus
195,372004.9237,9929572.737,Aotus
196,372004.9237,9929572.737,Aotus
197,372284.4149,9929649.299,Aotus
198,372097.5934,9929489.407,Aotus
199,373590.5757,9928390.241,Aotus
200,371257.7,9930285.8,Ateles
201,371404.3,9929525,Ateles
202,371291.7,9929872.7,Ateles
203,371386.6,9929845.6,Ateles
204,371262,9930347,Ateles
205,371306.5,9930072.2,Ateles
206,371031,9930343,Ateles
207,371570.1,9930021.7,Ateles
208,371702,9930062,Ateles
209,371671.6,9929849.9,Ateles
210,371869,9929657,Ateles
211,371162,9930376,Cebus
212,371419,9930323,Ateles
213,371473.9,9930011.9,Ateles
214,371253.3,9930838.6,Ateles
215,371213,9929983,Ateles
216,371728.1,9929642.4,Ateles
217,371293.5,9930064.7,Ateles
218,371392,9930047,Ateles
219,371551.2,9929856.8,Ateles
220,371658.7,9929834.5,Ateles
221,371399,9930092,Ateles
222,371544,9930091,Ateles
223,371366.5,9930072.2,Ateles
224,371446,9930277,Ateles
225,371007,9930173,Ateles
226,371033,9930187,Ateles
227,371230.1,9930429.8,Ateles
228,371383,9930037,Ateles
229,371079,9930261,Ateles
230,371506,9930979,Ateles
231,371521,9930736,Ateles
232,371529,9930654,Ateles
233,371427,9930718,Ateles
234,371430,9929627,Ateles
235,371001,9930138,Ateles
236,371284.2,9930448.5,Ateles
237,371507,9930377,Ateles
238,370422.5155,9930634.148,Ateles
239,371403.9,9929979.2,Ateles
240,371392.7,9929922.2,Ateles
241,372070.1,9930806.2,Ateles
242,370799.8,9930068.1,Ateles
243,370796.4,9930077.5,Ateles
244,370738.9,9930037.3,Ateles
245,370424,9930161,Ateles
246,371029,9929457,Ateles
247,371029,9929467,Ateles
248,371018.2,9929518.7,Ateles
249,371043,9929615,Ateles
250,371075,9929648,Ateles
251,371095.9,9929872.5,Ateles
252,371001,9930276,Ateles
253,370843.7,9930482.4,Ateles
254,371438.8,9929610.3,Ateles
255,371436,9929916,Ateles
256,371425.2,9930020.6,Ateles
257,371467,9929656.3,Ateles
258,370724.3,9930193.1,Ateles
259,370427.6,9930294,Ateles
260,370422,9930292,Ateles
261,374522.6,9930433.1,Ateles
262,370847.6,9930022.1,Ateles
263,371113.3,9929862.5,Ateles
264,371017,9930183,Ateles
265,370446.2755,9930686.545,Ateles
266,370275.1268,9930417.331,Ateles
267,370397,9930404.4,Ateles
268,370225.13,9930417.33,Ateles
269,370384,9930339,Ateles
270,370433.59,9930445,Ateles
271,370129,9930521,Ateles
272,370155,9930441,Ateles
273,370189,9930321,Ateles
274,370465.0694,9930693.385,Ateles
275,370085,9930916,Ateles
276,370166,9930646,Ateles
277,370469,9930288,Ateles
278,370163,9930124,Ateles
279,370208,9930160,Ateles
280,370306,9930250,Ateles
