Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Brain_size_Ref,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,Mass_Ref,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,Social_Organization_Ref,InterbirthInterval_d,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,Life_History_Ref,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Climate_Ref,HomeRange_km2,HomeRangeRef,DayLength_km,DayLengthRef,Territoriality,Fruit,Leaves,Fauna,DietRef1,Canine_Dimorphism,Canine_Dimorphism_Ref,Feed,Move,Rest,Social,Activity_Budget_Ref
Mirza_coquereli,Cheirogalidae,Mirza,coquereli,5.8,5.23,Isler et al 2008,311,312,0.997,Isler et al 2008,1,1,1,,Kappeler 1997,365,89,136,183.6,1.71,Jones et al. 2009,-18.34,924.8,23.9,937.1,1597.7,Jones et al. 2009,0.03,Jones et al. 2009,,,,,,,,,,,,,,
Arctocebus_calabarensis,Lorisidae,Arctocebus,calabarensis,6.92,6.53,Isler et al 2008,312,306,1.02,Isler et al 2008,,,,,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,144.47,133,109.26,156,1.01,Jones et al. 2009,5.52,1844.4,24.8,1218,1530.3,Jones et al. 2009,,,,,,,,,,1,Plavcan & Ruff 2008,,,,,
Callithrix_jacchus,Cebidae,Callithrix,jacchus,7.24,7.05,Isler et al 2008,318,322,0.988,Isler et al 2008,11,2.3,2.9,1.26,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,159.8,144,60.24,201.6,2.31,Jones et al. 2009,-6.58,993.9,25,912.7,1488.6,Jones et al. 2009,0.02,Jones et al. 2009,0.88,Nunn et al. 2003,5.5146,22,0,11,Nunn et al 2003,1.056,Plavcan & Ruff 2008,43,14,30,14,Kamilar 2006; Sussman et al. 2005
Phaner_furcifer,Cheirogalidae,Phaner,furcifer,6.68,6.78,Isler et al 2008,328,350,0.937,Isler et al 2008,2,1,1,,Kappeler 1997,,174.46,,144,1.01,Jones et al. 2009,-15.35,1763.1,22.3,1471,1867.6,Jones et al. 2009,0.02,Jones et al. 2009,,,,,,,,,,,,,,
Callithrix_argentata,Cebidae,Callithrix,argentata,7.95,8.36,Isler et al 2008,330,360,0.917,Isler et al 2008,,,,,,219.6,144,,201.6,1.84,Jones et al. 2009,-3.09,1718.5,25.4,1412.8,1614.4,Jones et al. 2009,,,,,,,,,,,,,,,,
Callithrix_penicillata,Cebidae,Callithrix,penicillata,7.32,7.38,Isler et al 2008,343.8,311.7,1.103,Isler et al 2008,8,3,2,0.67,Campbell et al 2007,,,,184.8,2,Jones et al. 2009,-12.68,1172.2,22,1085,1442.4,Jones et al. 2009,0.01,Jones et al. 2009,1,Pontzer and Kamilar 2006,8.8623,,,,,1.08,Plavcan & Ruff 2008,,,,,
Callithrix_humeralifera,Cebidae,Callithrix,humeralifera,,8.2,Isler et al 2008,360,380,0.947,Isler et al 2008,,2.8,3.3,1.18,Nunn & van Schaik 2000,,144,99.01,180,2,Jones et al. 2009,-5.36,1636.7,25.9,1433.7,1605.8,Jones et al. 2009,0.1,Jones et al. 2009,1.12,Pontzer and Kamilar 2006,3.1388,76.5,,,Kamilar 2006,,,,,,5,Sussman et al. 2005
Saguinus_niger,Cebidae,Saguinus,niger,9.48,9.62,Isler et al 2008,380,370,1.027,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_fuscicollis,Cebidae,Saguinus,fuscicollis,7.94,8.03,Isler et al 2008,404.6,396.6,1.02,Isler et al 2008,5.1,1.9,1.3,0.68,Garber et al. 2008,293.5,147,90.1,294,1.83,Jones et al. 2009,-5.28,1968,25.4,1450.1,1535.4,Jones et al. 2009,0.2,Jones et al. 2009,1.6,Nunn et al. 2003,3.1707,55,0,44,Nunn et al 2003,1.014,Plavcan & Ruff 2008,17.09,28.48,35.86,5.08,Kamilar 2006
Saguinus_oedipus,Cebidae,Saguinus,oedipus,9.76,9.92,Isler et al 2008,416.6,445.1,0.936,Isler et al 2008,5.8,2.7,1.7,0.63,Garber et al. 2008,233.06,178,49.85,277.2,1.9,Jones et al. 2009,9.22,1202.9,26.3,1367.1,1586.1,Jones et al. 2009,0.06,Jones et al. 2009,1.9,Nunn et al. 2003,6.8742,,5,37,Nunn et al 2003,1,Plavcan 2001,,,,,
