Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Brain_size_Ref,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,Mass_Ref,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,Social_Organization_Ref,InterbirthInterval_d,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,Life_History_Ref,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Climate_Ref,HomeRange_km2,HomeRangeRef,DayLength_km,DayLengthRef,Territoriality,Fruit,Leaves,Fauna,DietRef1,Canine_Dimorphism,Canine_Dimorphism_Ref,Feed,Move,Rest,Social,Activity_Budget_Ref
Eulemur_mongoz,Lemuridae,Eulemur,mongoz,20.17,19.69,Isler et al 2008,1143.3,1281.5,0.892,Isler et al 2008,2.93,1,1,1,Ossi and Kamilar 2006,365,128,151.13,360,1.11,Jones et al. 2009,-16.11,1258.8,26.2,932.2,1603.7,Jones et al. 2009,0.042,Ossi and Kamilar 2006,0.712,Pontzer and Kamilar 2006,3.0789,63.3,19.3,0,Ossi and Kamilar 2006,1.197,Plavcan & Ruff 2008,9,9.5,69.1,4,Ossi and Kamilar 2006; Sussman et al. 2005
Aotus_azarai,Cebidae,Aotus,azarai,20.67,20.69,Isler et al 2008,1180,1230,0.959,Isler et al 2008,3.1,1,1,1,Garber et al. 2008,365,,229.69,360,1,Jones et al. 2009,-17.05,1010.9,24.6,1186.2,1410.8,Jones et al. 2009,0.095,Campbell et al. 2007,,,,45,41,,Campbell et al. 2007,,,,,,,
Otolemur_crassicaudatus,Galagidae,Otolemur,crassicaudatus,11.78,11.06,Isler et al 2008,1190,1110,1.072,Isler et al 2008,6,1,,,van Schaik et al. 1999; Kappeler and Pereira 2003,365,130,124.62,225.6,1.14,Jones et al. 2009,-14.71,870.9,22,912.8,1482.6,Jones et al. 2009,0.06,Jones et al. 2009,,,,,0,,,1.229,Plavcan & Ruff 2008,,,,,
Hapalemur_griseus_alaotrensis,Lemuridae,Hapalemur,griseus_alaotrensis,13.8,,Isler et al 2008,1228,1251,0.982,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callicebus_personatus,Pitheciidae,Callicebus,personatus,,,,1270,1380,0.92,Smith and Jungers 1997,4,1,1,1,Miller 1996,,,,,1.01,Jones et al. 2009,-19.25,1073.9,21.2,1204.5,1458.5,Jones et al. 2009,0.047,"Kinzey 1981	 Kinzeyand Becker 1983",0.69,Campbell et al. 2007,2.8206,68,17.6,,Campbell et al. 2007; Kappeler & Pereira 2003,,,,,,,
Callicebus_torquatus,Pitheciidae,Callicebus,torquatus,,19.84,Isler et al 2008,1280,1210,1.058,Isler et al 2008,4.8,1,1,1,Garber et al. 2008,,,,,,,,,,,,,0.29,"Kinzey 1978	 1981",0.8,Campbell et al. 2007,1.3165,71.3,4,20,Campbell et al. 2007,1.059,Plavcan & Ruff 2008,,,,1.4,Sussman et al. 2005
Eulemur_coronatus,Lemuridae,Eulemur,coronatus,20.65,21.91,Isler et al 2008,1280,1080,1.185,Isler et al 2008,9.25,4.13,3.75,0.91,Ossi and Kamilar 2006,,126,,220.8,1.53,Jones et al. 2009,-13.06,1050.9,23.8,1253.3,1528,Jones et al. 2009,0.123,Ossi and Kamilar 2006,0.912,Ossi and Kamilar 2006,2.3046,81.9,3.3,,Ossi and Kamilar 2006,1.116,Plavcan & Ruff 2008,19.4,7,44,4.3,Ossi and Kamilar 2006; Sussman et al. 2005
Eulemur_sanfordi,Lemuridae,Eulemur,sanfordi,,,,1870,1830,1.022,Smith and Jungers 1997,5,2.25,2.13,0.95,Ossi and Kamilar 2006,,,,,,,-12.78,1013.1,25.2,1193,1510,Jones et al. 2009,0.07,Freed 1996,0.758,Ossi and Kamilar 2006,2.539,89.1,2.2,,Ossi and Kamilar 2006,,,17.7,11,59.2,,Ossi and Kamilar 2006
Miopithecus_talapoin,Cercopithecidae,Miopithecus,talapoin,37.35,34.76,Isler et al 2008,1940,1560,1.244,Isler et al 2008,66.5,10.2,20.4,2,Hill & Lee 1998,365,169,178.98,370.8,1.01,Jones et al. 2009,-7.68,1043.1,23.2,1091.6,1517,Jones et al. 2009,0.8,Jones et al. 2009,2.4,Nunn et al. 2003,2.378,43,<5,35,Campbell et al. 2007,1.694,Plavcan & Ruff 2008,,,,,
Pithecia_pithecia,Pitheciidae,Pithecia,pithecia,32.26,32.58,Isler et al 2008,1940,1580,1.228,Isler et al 2008,5.5,1,2,2,"Setz and Gaspar 1997	 Gilbert and Setz 2001",448.03,158,113.15,248.4,1.01,Jones et al. 2009,2.92,1569.9,25.4,1467.7,1698.9,Jones et al. 2009,0.128,"Norconk	 in press",1.5,"Norconk	 in press",3.7156,29.4,8.75,3,Campbell et al. 2007,1.174,Plavcan & Ruff 2008,,,,,
Eulemur_rubriventer,Lemuridae,Eulemur,rubriventer,26.23,26.93,Isler et al 2008,1980,1940,1.021,Isler et al 2008,3,1,1,1,Ossi and Kamilar 2006,,130,151.22,240,1.01,Jones et al. 2009,-18.45,1781.1,19.4,1344,1575.5,Jones et al. 2009,0.2,Ossi and Kamilar 2006,0.444,Ossi and Kamilar 2006,0.8799,81,15,,Ossi and Kamilar 2006,1.051,Plavcan & Ruff 2008,16,21,60,2,Ossi and Kamilar 2006; Sussman et al. 2005
Eulemur_albocollaris,Lemuridae,Eulemur,albocollaris,22.1,,Isler et al 2008,2150,2130,1.009,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hapalemur_simus,Lemuridae,Hapalemur,simus,,,,2150,1300,1.654,Smith and Jungers 1997,7,1,1,1,Kappeler 1997,,142,,144,1,Jones et al. 2009,-21.76,1746.4,18.9,1334.9,1505.3,Jones et al. 2009,0.62,Jones et al. 2009,,,,,,,,,,30.6,20.3,33.6,,Kamilar 2006
Eulemur_rufus,Lemuridae,Eulemur,rufus,25.4,27.5,Isler et al 2008,2170,2270,0.956,Isler et al 2008,9.17,4.1,2.6,0.63,Ossi and Kamilar 2006,,,,,,,-19.51,1068.8,22.8,1004.1,1547,Jones et al. 2009,0.584,Ossi and Kamilar 2006,0.8475,Ossi and Kamilar 2006,0.9828,68.4,24.1,,Ossi and Kamilar 2006,,,18,16.2,61.8,,Ossi and Kamilar 2006
Lemur_catta,Lemuridae,Lemur,catta,22.9,19.75,Isler et al 2008,2210,2210,1,Isler et al 2008,17,5.2,6.4,1.23,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,468.41,135,126.51,360,1.18,Jones et al. 2009,-23.05,629.4,23,839.1,1636.6,Jones et al. 2009,0.05,Jones et al. 2009,0.9,Pontzer and Kamilar 2006,3.567,54,43.6,0?,,1.186,Plavcan & Ruff 2008,,,,4.6,Sussman et al. 2005
Eulemur_fulvus,Lemuridae,Eulemur,fulvus,25.77,25.39,Isler et al 2008,2250,2333.3,0.964,Isler et al 2008,8.9,3,3.5,1.17,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,547.5,118,134.64,444,1.1,Jones et al. 2009,-16.64,1561.3,21.4,1179.3,1588.5,Jones et al. 2009,0.162,Ossi and Kamilar 2006,0.447,Ossi and Kamilar 2006,0.9842,68.7,25.6,0,Ossi and Kamilar 2006,1.176,Plavcan & Ruff 2008,18.4,15.6,58.9,2.48,Kamilar 2006
Pithecia_irrorata,Pitheciidae,Pithecia,irrorata,,,,2250,2070,1.087,Smith and Jungers 1997,3.5,,,,Buchanan-Smith et al. 2000,,,,,,,-8.15,1766.7,25.1,1388.5,1574.5,Jones et al. 2009,,,,,,,,,,,,,,,,
Eulemur_macaco,Lemuridae,Eulemur,macaco,24.51,24.92,Isler et al 2008,2350,2430,0.967,Isler et al 2008,10,3.4,3.1,0.91,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,365,127,143.28,360,1.04,Jones et al. 2009,-13.94,1341.9,22.3,1188.6,1717.6,Jones et al. 2009,0.053,Ossi and Kamilar 2006,,,,64.3,23,0,Ossi and Kamilar 2006,1.02,Plavcan & Ruff 2008,13.6,16.4,62.8,,Ossi and Kamilar 2006
Eulemur_albifrons,Lemuridae,Eulemur,albifrons,21.45,,Isler et al 2008,2390,2281,1.048,Isler et al 2008,9,3.5,3,0.86,Ossi and Kamilar 2006,,,,,,,,,,,,,0.13,Vasey 2000,0.9825,Ossi and Kamilar 2006,2.4149,69,11.5,,Ossi and Kamilar 2006,,,22,22,56,,Ossi and Kamilar 2006
Daubentonia_madagascariensis,Daubentonidae,Daubentonia,madagascariensis,44.85,47.19,Isler et al 2008,2620,2490,1.052,Isler et al 2008,1,1,1,,Kappeler 1997,760.41,167,197.7,291.6,1.01,Jones et al. 2009,-18.79,1491.3,21.7,1216.3,1601.3,Jones et al. 2009,0.356,Campbell et al. 2007,2.95,Pontzer and Kamilar 2006,4.3817,,,,,,,,,,,
Cebus_xanthosternos,Cebidae,Cebus,xanthosternos,66.09,64,Isler et al 2008,2714.3,2166.7,1.253,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propithecus_verreauxi,Indriidae,Propithecus,verreauxi,26.21,24.92,Isler et al 2008,2930,2980,0.983,Isler et al 2008,5,1.7,2.8,1.65,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,365,148,177.83,247.2,1.02,Jones et al. 2009,-22.63,581.3,23.5,800.5,1657.3,Jones et al. 2009,0.03,Jones et al. 2009,0.85,Pontzer and Kamilar 2006,4.3491,24,65,0,,1.061,Plavcan & Ruff 2008,,,,3.8,Sussman et al. 2005
Chiropotes_satanas,Pitheciidae,Chiropotes,satanas,48.33,47.51,Isler et al 2008,3100,2960,1.047,Isler et al 2008,18.5,1.5,9,6,"Norconk 1996	Peetz 2001",,160,,235.2,1,Jones et al. 2009,,,,,,,2.25,"van Roosmalen et al. 1981	Ayres 1981",2.5,"van Roosmalen et al. 1981	Ayres 1981",1.477,15.45,8.17,0.5,Campbell et al. 2007,1.155,Plavcan & Ruff 2008,,,,,
Cacajao_melanocephalus,Pitheciidae,Cacajao,melanocephalus,68.77,64.93,Isler et al 2008,3160,2710,1.166,Isler et al 2008,,,,,,,,,216,1,Jones et al. 2009,0.53,2310.2,25.1,1581,1597.1,Jones et al. 2009,,,,,,28.8,4,2,Campbell et al. 2007,,,,,,,
Cebus_albifrons,Cebidae,Cebus,albifrons,65.45,63.24,Isler et al 2008,3180,2290,1.389,Isler et al 2008,25.1,3.8,6.5,1.71,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,547.5,158,270.32,528,1.01,Jones et al. 2009,-0.82,1929.9,25.3,1466.7,1559.7,Jones et al. 2009,0.53,Jones et al. 2009,1.8,Nunn et al. 2003,2.1912,24.6,20,10,Nunn et al 2003; Kappeler & Pereira 2003,,,,,,,
Cebus_olivaceus,Cebidae,Cebus,olivaceus,69.84,68.38,Isler et al 2008,3229.2,2633.3,1.226,Isler et al 2008,21,3.5,6.9,1.97,Garber et al. 2008,792.05,162,725.86,492,1.01,Jones et al. 2009,4.78,1555.2,24.9,1476.6,1703.1,Jones et al. 2009,1.7,Jones et al. 2009,2.3,Pontzer and Kamilar 2006,1.5633,48,8,36,Kamilar 2006,1.573,Plavcan 2001,,,,1.7,Sussman et al. 2005
Cebus_capucinus,Cebidae,Cebus,capucinus,72.93,72.12,Isler et al 2008,3285.8,2436.5,1.349,Isler et al 2008,16.4,3.4,5,1.47,Garber et al. 2008,790.83,162,514.07,657.6,1.01,Jones et al. 2009,8.74,2165.7,24.1,1382.2,1667,Jones et al. 2009,0.35,Jones et al. 2009,2,Nunn et al. 2003,2.996,47.5,6.5,14.6,Kamilar 2006; Kappeler & Pereira 2003,1.582,Plavcan & Ruff 2008,24.4,14.9,38.73,10,Kamilar 2006
Cebus_apella,Cebidae,Cebus,apella,66.63,64.32,Isler et al 2008,3382.8,2489.1,1.359,Isler et al 2008,12.9,3.6,4.9,1.36,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,657,158,263.12,541.2,1.05,Jones et al. 2009,-10.77,1541.9,24.1,1291.8,1516.9,Jones et al. 2009,0.88,Jones et al. 2009,2.1,Nunn et al. 2003,1.9839,52,10,20,Nunn et al 2003; Kappeler & Pereira 2003,1.455,Plavcan & Ruff 2008,52.7,,,9.9,Kamilar 2006; Sussman et al. 2005
Propithecus_tattersalli,Indriidae,Propithecus,tattersalli,,,,3390,3590,0.944,Smith and Jungers 1997,4.1,,,0.83,Kappeler 1997,,,152.13,240,,Jones et al. 2009,-13.08,1044.9,25.2,1149,1476,Jones et al. 2009,0.06,Jones et al. 2009,,,,46.2,38.7,0,Irwin 2006,,,,,,,
Propithecus_deckenii,Indriidae,Propithecus,deckenii,30.15,28.95,Isler et al 2008,3430,3633.3,0.944,Isler et al 2008,4,,,,Kamilar 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacajao_calvus,Pitheciidae,Cacajao,calvus,76,74.3,Isler et al 2008,3450,2880,1.198,Isler et al 2008,48,16,16,1,"Ayres 1986	 1989",775.62,182,339.29,324,1.01,Jones et al. 2009,-5.73,2118.6,25.5,1516,1535.6,Jones et al. 2009,5.25,"Ayres 1986	 1989",3.75,Campbell et al. 2007,1.4504,18.4,3.3,5.2,Campbell et al. 2007; Kappeler & Pereira 2003,1.255,Plavcan & Ruff 2008,,,,,
Cercopithecus_erythrotis,Cercopithecidae,Cercopithecus,erythrotis,65.4,,Isler et al 2008,3600,2900,1.241,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,1.759,Plavcan & Ruff 2008,,,,,
Varecia_rubra,Lemuridae,Varecia,rubra,31.08,31.08,Isler et al 2008,3600,3340,1.078,Isler et al 2008,4.19,,,,Kamilar 2006,,,,,,,,,,,,,,,,,,86,4,0,Campbell et al. 2007,,,,,,,
Varecia_variegata,Lemuridae,Varecia,variegata,32.12,31.17,Isler et al 2008,3630,3520,1.031,Isler et al 2008,2.8,2.5,1.42,0.57,van Schaik et al. 1999; Kappeler and Pereira 2003,365,99,90.73,384,2.16,Jones et al. 2009,-19.18,1885.8,19.9,1351.4,1564,Jones et al. 2009,1.39,Jones et al. 2009,1.021,Pontzer and Kamilar 2006,0.7675,90,6,0,Campbell et al. 2007,1.038,Plavcan & Ruff 2008,26.78,13.2,53.03,3.5,Kamilar 2006
Propithecus_coquereli,Indriidae,Propithecus,coquereli,30.19,,Isler et al 2008,3700,3757,0.985,Isler et al 2008,5.5,,,1.45,Kappeler 1997,365,140.99,180.96,,1,Jones et al. 2009,-15.49,1347.9,25.1,982.6,1753,Jones et al. 2009,,,,,,,,,,,,,,,,
Cercopithecus_wolfi,Cercopithecidae,Cercopithecus,wolfi,61.45,57.2,Isler et al 2008,3910,2870,1.362,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,1.883,Plavcan & Ruff 2008,,,,,
Macaca_ochreata,Cercopithecidae,Macaca,ochreata,,,,4200,2600,1.615,Isler et al 2008,,,,,,,,,348,,Jones et al. 2009,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_pogonias,Cercopithecidae,Cercopithecus,pogonias,59.56,56.56,Isler et al 2008,4260,2900,1.469,Isler et al 2008,13,1,5,5,Hill & Lee 1998,730,165,,289.2,1.01,Jones et al. 2009,1.53,1460.5,24.5,1269.6,1538.7,Jones et al. 2009,1.15,Jones et al. 2009,1.75,Pontzer and Kamilar 2006,1.4462,74.5,4,11.5,Campbell et al. 2007,1.652,Plavcan & Ruff 2008,,,,,
Cercopithecus_cephus,Cercopithecidae,Cercopithecus,cephus,65.26,61.69,Isler et al 2008,4290,2880,1.49,Isler et al 2008,8,1,3,3,Hill & Lee 1998,821,172,362.93,276,1.01,Jones et al. 2009,-0.42,1498.7,24.4,1299.9,1499.8,Jones et al. 2009,0.24,Jones et al. 2009,,,,72.5,8.5,11,Campbell et al. 2007,1.702,Plavcan & Ruff 2008,,,,,
Cercopithecus_petaurista,Cercopithecidae,Cercopithecus,petaurista,55.08,52.07,Isler et al 2008,4300,2918.2,1.474,Isler et al 2008,11.3,1.16,5.67,4.89,Kamilar 2006,,,,228,1.02,Jones et al. 2009,8.93,1677.7,25.9,1205.3,1560,Jones et al. 2009,,,,,,33.6,39.7,12.3,Kamilar 2006,1.777,Plavcan & Ruff 2008,34.3,25.6,23.8,5.4,Kamilar 2006
Chlorocebus_aethiops,Cercopithecidae,Chlorocebus,aethiops,65,59,Isler et al 2008,4400,3039,1.448,Isler et al 2008,19.5,4.1,7.7,1.88,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,357,162,182,369.6,1,Jones et al. 2009,,,,,,,,,1.2,Nunn et al. 2003,,10.6,14.3,15.4,Campbell et al. 2007,1.583,Plavcan & Ruff 2008,34,21.13,25.63,13.63,Kamilar 2006
Cercopithecus_campbelli,Cercopithecidae,Cercopithecus,campbelli,57.39,54.39,Isler et al 2008,4500,2700,1.667,Isler et al 2008,14,1,4,4,Nunn & van Schaik 2000,,180,362.93,396,1.02,Jones et al. 2009,8.53,2266.7,25.3,1144.2,1505.2,Jones et al. 2009,0.01,Jones et al. 2009,,,,46.3,8.4,33.1,Kamilar 2006,,,31.5,28,18,5.2,Kamilar 2006
Cercopithecus_ascanius,Cercopithecidae,Cercopithecus,ascanius,59.58,54.9,Isler et al 2008,4527.6,2901,1.561,Isler et al 2008,28.8,1,8.5,8.5,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1580.45,147,146.54,339.6,1.01,Jones et al. 2009,-2.71,1310.1,23.7,1302.5,1551.8,Jones et al. 2009,0.16,Jones et al. 2009,1.5,Nunn et al. 2003,3.3233,54.8,14.2,23.3,Campbell et al. 2007,1.56,Plavcan & Ruff 2008,34,17,10,,Kamilar 2006
Procolobus_verus,Cercopithecidae,Procolobus,verus,52.6,51.63,Isler et al 2008,4700,4200,1.119,Isler et al 2008,,2,3.3,1.65,Nunn & van Schaik 2000,,167.84,,,1.02,Jones et al. 2009,7,1868.9,25.3,1312.8,1560.7,Jones et al. 2009,0.56,Korstjens 2001,1.212,Korstjens 2001,1.4353,13.5,79.5,,Campbell et al. 2007,2.005,Plavcan & Ruff 2008,,,,6.7,Sussman et al. 2005
Cercopithecus_mona,Cercopithecidae,Cercopithecus,mona,61.84,57.75,Isler et al 2008,4705,2733,1.722,Isler et al 2008,4.8,1,1.9,1.9,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,,,,360,1,Jones et al. 2009,,,,,,,,,,,,,,,,1.9,Plavcan & Ruff 2008,,,,,
Chlorocebus_sabaeus,Cercopithecidae,Chlorocebus,sabaeus,64.91,59.39,Isler et al 2008,4923.6,3700,1.331,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_fascicularis,Cercopithecidae,Macaca,fascicularis,63.98,62.14,Isler et al 2008,4984.2,3517.9,1.417,Isler et al 2008,27.5,4.7,10.6,2.26,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,398.45,165,283.53,456,1,Jones et al. 2009,4.13,2190.5,24.9,1553.1,1719.8,Jones et al. 2009,0.46,Jones et al. 2009,1.5,Nunn et al. 2003,1.96,76.8,9.4,4,Campbell et al. 2007,2.258,Plavcan & Ruff 2008,18.5,36.9,42.9,1.5,Kamilar 2006
Chlorocebus_pygerythrus,Cercopithecidae,Chlorocebus,pygerythrus,62.58,59.42,Isler et al 2008,5071.2,3575.8,1.418,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_diana,Cercopithecidae,Cercopithecus,diana,62.61,55.15,Isler et al 2008,5200,3900,1.333,Isler et al 2008,24,1,7,7,Hill & Lee 1998,365,,362.93,447.6,1.01,Jones et al. 2009,6.65,2375.7,24.8,1328.4,1541.7,Jones et al. 2009,1.25,Jones et al. 2009,1.6,Nunn et al. 2003,1.2683,58.5,15.8,15.9,Kamilar 2006,1.618,Plavcan & Ruff 2008,28.1,27.7,24.4,7.3,Kamilar 2006
Propithecus_edwardsi,Indriidae,Propithecus,edwardsi,39.49,40.24,Isler et al 2008,5468.8,5895,0.928,Isler et al 2008,4.6,1.46,1.44,0.99,Pochron et al. 2004,,,,,,,-21.39,1672.6,18.3,1329,1496.3,Jones et al. 2009,4,Campbell et al. 2007,,,,30.4,28.2,0,Irwin 2006,,,,,,,
Cercopithecus_hamlyni,Cercopithecidae,Cercopithecus,hamlyni,65.9,58.8,Isler et al 2008,5490,3360,1.634,Isler et al 2008,,,,,,,,,343.2,,Jones et al. 2009,,,,,,,,,,,,,,,,,,,,,,
Hylobates_pileatus,Hylobatidae,Hylobates,pileatus,84.69,83.83,Isler et al 2008,5500,5440,1.011,Isler et al 2008,,1,1,1,Nunn & van Schaik 2000,,228,635.13,432,1,Jones et al. 2009,12.92,1576,26,1202.4,1711.5,Jones et al. 2009,0.23,Jones et al. 2009,1.3,Campbell et al. 2007,2.4023,67.5,20,11,Campbell et al. 2007,0.993,Plavcan & Ruff 2008,,,,,
Hylobates_muelleri,Hylobatidae,Hylobates,muelleri,85.13,86.95,Isler et al 2008,5632.3,6010.3,0.937,Isler et al 2008,,,,,,1095,206.7,,684,1.02,Jones et al. 2009,1.13,2665.3,24,1679.4,1707.8,Jones et al. 2009,0.26,Jones et al. 2009,0.9,Leighton 1987,1.5642,62,32,2,Campbell et al. 2007; Kappeler & Pereira 2003,,,,,,4,Sussman et al. 2005
Hylobates_klossii,Hylobatidae,Hylobates,klossii,87.99,90.55,Isler et al 2008,5670,5920,0.958,Isler et al 2008,,0.9,1,1.11,Nunn & van Schaik 2000,,213,335,444,1,Jones et al. 2009,,,,,,,0.32,Whitten 1984,1.5,Whitten 1984,2.35,72,2,26,Whitten 1984; Kappeler & Pereira 2003,0.966,Plavcan & Ruff 2008,,,,,
Macaca_sinica,Cercopithecidae,Macaca,sinica,69.7,66,Isler et al 2008,5680,3200,1.775,Isler et al 2008,24.5,2.7,6.2,2.3,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,547.5,152,396,420,1.01,Jones et al. 2009,7.87,1416.7,25.8,1536.7,1630.1,Jones et al. 2009,0.4,Jones et al. 2009,,,,97,23,2,Nunn et al 2003,1.977,Plavcan & Ruff 2008,46,10,34,,Ashmore 1992
Alouatta_guariba,Atelidae,Alouatta,guariba,51.7,49.08,Isler et al 2008,5800,4550,1.275,Isler et al 2008,6.53,1.37,2.2,1.61,Campbell et al 2007,,,,,,,-21.13,1332.3,19.6,1225.7,1332.2,Jones et al. 2009,0.03,Jones et al. 2009,,,,5.2,73,0,Campbell et al. 2007,1.783,Plavcan & Ruff 2008,18.33,14.33,64.37,3,Campbell et al. 2007
Piliocolobus_kirkii,Cercopithecidae,Piliocolobus,kirkii,57.25,55.5,Isler et al 2008,5800,5460,1.062,Isler et al 2008,32.4,2.6,13.45,5.17,Kamilar 2006,,,,,1.01,Jones et al. 2009,,,,,,,0.326,Siex 2003; Mturi 1993,1.044,"Mturi 1991	 199;",1.6205,21,64.5,0,Campbell et al. 2007,2.526,Plavcan & Ruff 2008,45.5,29,9,11,Campbell et al. 2007
Hylobates_lar,Hylobatidae,Hylobates,lar,101.87,100.49,Isler et al 2008,5809.2,5380.9,1.08,Isler et al 2008,3.3,1,1,1,van Schaik et al. 1999; Nunn & van Schaik 2000,983.67,217,725.86,480,1.01,Jones et al. 2009,13.68,1727.4,23,1278.1,1612.3,Jones et al. 2009,0.32,Jones et al. 2009,1.6,Nunn et al. 2003,2.5066,64,24.7,9.7,Campbell et al. 2007; Kappeler & Pereira 2003,1.16,Plavcan & Ruff 2008,33.87,23.33,33.1,7.57,Kamilar 2006
Indri_indri,Indriidae,Indri,indri,34.81,34.14,Isler et al 2008,5830,6840,0.852,Isler et al 2008,3.2,1,1,1,van Schaik et al. 1999; Nunn & van Schaik 2000,912.5,136.5,331.34,,1.01,Jones et al. 2009,-17.23,1871.1,20,1342.6,1594.8,Jones et al. 2009,0.12,Jones et al. 2009,0.25,Pontzer and Kamilar 2006,0.6396,43,57,,,0.996,Plavcan & Ruff 2008,42,3,50,1.5,Powzyk 1997
Hylobates_agilis,Hylobatidae,Hylobates,agilis,91.16,90.93,Isler et al 2008,5880,5820,1.01,Isler et al 2008,,1,1,1,Nunn & van Schaik 2000,1138,,724,528,1.02,Jones et al. 2009,0.16,2398,25.4,1743.6,1792,Jones et al. 2009,0.29,Gittins 1982,1.3,Gittins 1982,2.1394,58,39,1,Gittins 1982; Kappeler & Pereira 2003,,,,,,,
Cercopithecus_lhoesti,Cercopithecidae,Cercopithecus,lhoesti,74.2,67.3,Isler et al 2008,5970,3450,1.73,Isler et al 2008,,,,,,485.45,,,192,1,Jones et al. 2009,-1.13,1271.3,22.6,1418.5,1597.6,Jones et al. 2009,,,,,,24.5,35.2,8.8,Campbell et al. 2007,1.84,Plavcan & Ruff 2008,,,,11.4,Sussman et al. 2005
Macaca_cyclopis,Cercopithecidae,Macaca,cyclopis,82,73,Isler et al 2008,6000,4940,1.215,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,53.8,29.1,9.8,Campbell et al. 2007,,,,,,,
Propithecus_diadema,Indriidae,Propithecus,diadema,39.8,40.51,Isler et al 2008,6050,6210,0.974,Isler et al 2008,5.38,1,1.25,1.25,Irwin 2006,745.2,157,256.27,,1.01,Jones et al. 2009,-17,1838.3,19.8,1343.2,1613.8,Jones et al. 2009,0.21,Jones et al. 2009,,,,15.1,48.8,0,Irwin 2006,0.88,Plavcan & Ruff 2008,25,23,47,5,Kamilar 2006; Sussman et al. 2005
Allenopithecus_nigroviridis,Cercopithecidae,Allenopithecus,nigroviridis,58.02,53.7,Isler et al 2008,6130,3180,1.928,Isler et al 2008,,,,,,,,106.15,276,1.01,Jones et al. 2009,-0.17,1574,25.2,1517.8,1589.4,Jones et al. 2009,,,,,,,,,,2.21,Plavcan & Ruff 2008,,,,,
Macaca_radiata,Cercopithecidae,Macaca,radiata,74.87,69.38,Isler et al 2008,6312.5,3855.7,1.637,Isler et al 2008,30,8,9.7,1.21,Hill & Lee 1998,365,161,332.25,360,1.01,Jones et al. 2009,14.59,937.4,26.5,844.9,1589.6,Jones et al. 2009,0.88,Jones et al. 2009,1.75,Pontzer and Kamilar 2006,1.6533,,,,,,,,,,,
Macaca_leonina,Cercopithecidae,Macaca,leonina,85.6,82.12,Isler et al 2008,6520.5,4762.7,1.369,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta_caraya,Atelidae,Alouatta,caraya,52.63,47.8,Isler et al 2008,6525,4240,1.539,Isler et al 2008,8,2.3,3.3,1.43,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,337.62,187,323.16,243.6,1.01,Jones et al. 2009,-20.34,1166.4,22.9,1193.1,1404.9,Jones et al. 2009,,,0.4,Nunn et al. 2003,,23.8,67.7,0,Campbell et al. 2007,1.542,Plavcan & Ruff 2008,15.9,17.6,61.6,4.9,Campbell et al. 2007
Presbytis_melalophos,Cercopithecidae,Presbytis,melalophos,64.85,59.21,Isler et al 2008,6554.3,6566.6,0.998,Isler et al 2008,14.5,1,6,6,Hill & Lee 1998,,,,192,1.01,Jones et al. 2009,-3.33,2785,24.7,1828.3,1857.8,Jones et al. 2009,0.12,Jones et al. 2009,0.88,Pontzer and Kamilar 2006,2.2513,,,,,1.712,Plavcan & Ruff 2008,,,,,
