Scientific_Name,Family,Genus,Brain_Size_Female_Mean,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,HomeRange_km2
Chlorocebus_aethiops,Cercopithecidae,Chlorocebus,59,4400,3039,1.448,
Cercopithecus_campbelli,Cercopithecidae,Cercopithecus,54.39,4500,2700,1.667,0.01
Cercopithecus_ascanius,Cercopithecidae,Cercopithecus,54.9,4527.6,2901,1.561,0.16
Procolobus_verus,Cercopithecidae,Procolobus,51.63,4700,4200,1.119,0.56
Cercopithecus_mona,Cercopithecidae,Cercopithecus,57.75,4705,2733,1.722,
Chlorocebus_sabaeus,Cercopithecidae,Chlorocebus,59.39,4923.6,3700,1.331,
Macaca_fascicularis,Cercopithecidae,Macaca,62.14,4984.2,3517.9,1.417,0.46
Chlorocebus_pygerythrus,Cercopithecidae,Chlorocebus,59.42,5071.2,3575.8,1.418,
Cercopithecus_diana,Cercopithecidae,Cercopithecus,55.15,5200,3900,1.333,1.25
Propithecus_edwardsi,Indriidae,Propithecus,40.24,5468.8,5895,0.928,4
Cercopithecus_hamlyni,Cercopithecidae,Cercopithecus,58.8,5490,3360,1.634,
Hylobates_pileatus,Hylobatidae,Hylobates,83.83,5500,5440,1.011,0.23
Hylobates_muelleri,Hylobatidae,Hylobates,86.95,5632.3,6010.3,0.937,0.26
Hylobates_klossii,Hylobatidae,Hylobates,90.55,5670,5920,0.958,0.32
Macaca_sinica,Cercopithecidae,Macaca,66,5680,3200,1.775,0.4
Alouatta_guariba,Atelidae,Alouatta,49.08,5800,4550,1.275,0.03
Piliocolobus_kirkii,Cercopithecidae,Piliocolobus,55.5,5800,5460,1.062,0.326
Hylobates_lar,Hylobatidae,Hylobates,100.49,5809.2,5380.9,1.08,0.32
Indri_indri,Indriidae,Indri,34.14,5830,6840,0.852,0.12
Hylobates_agilis,Hylobatidae,Hylobates,90.93,5880,5820,1.01,0.29
Cercopithecus_lhoesti,Cercopithecidae,Cercopithecus,67.3,5970,3450,1.73,
Macaca_cyclopis,Cercopithecidae,Macaca,73,6000,4940,1.215,
