"id","name","statcount","group","label"
"123",647473,"sayrer",13566,"<20K","sayrer"
"124",31393,"richardhenry",4027,"<5K","richardhenry"
"125",11353102,"amason",7422,"<10K","amason"
"126",199612181,"kpktest",507,"<5K","kpktest"
"127",15377059,"jamienewman",14777,"<20K","jamienewman"
"128",41329897,"j4cob",8200,"<10K","j4cob"
"129",56558855,NA,NA,"NA",NA
"130",15335058,"todd",6681,"<10K","todd"
"131",5841,"stirman",8838,"<10K","stirman"
"132",308230587,NA,NA,"NA",NA
"133",248858493,"GoogleWebStudio",284,"<5K","GoogleWebStudio"
"134",12806822,"SlexAxton",18932,"<20K","SlexAxton"
"135",42242439,"okinsey",1641,"<5K","okinsey"
"136",14927800,"jasoncosta",8280,"<10K","jasoncosta"
"137",91985735,"nodejs",3402,"<5K","nodejs"
"138",29255412,"tjholowaychuk",16357,"<20K","tjholowaychuk"
"139",15675252,"mart3ll",14827,"<20K","mart3ll"
"140",9533042,"BrendanEich",50972,">20K","BrendanEich"
"141",1199081,"ded",15062,"<20K","ded"
"142",12,"jack",20570,">20K","jack"
"143",6564962,"_ade",25044,">20K","_ade"
"144",207604485,"UtinniGames",63,"<5K","UtinniGames"
"145",527163603,"esprima",160,"<5K","esprima"
"146",357750891,"TwitterAds",5771,"<10K","TwitterAds"
"147",9943672,"lorenb",4280,"<5K","lorenb"
"148",109184306,"JoinTheFlock",3671,"<5K","JoinTheFlock"
"149",20733754,"mrdoob",19620,"<20K","mrdoob"
"150",33423,"gruber",52371,">20K","gruber"
"151",16826261,"little_jon_cg",3255,"<5K","little_jon_cg"
"152",6490602,"rmurphey",17043,"<20K","rmurphey"
"153",787864,"bentlegen",10445,"<20K","bentlegen"
"154",16049997,"AshBerlin",9958,"<10K","AshBerlin"
"155",6104,"iamcal",1111,"<5K","iamcal"
"156",15184804,"Emergency_In_SF",1385,"<5K","Emergency_In_SF"
"157",15431118,"Souders",6614,"<10K","Souders"
"158",5725652,"ericlaw",47595,">20K","ericlaw"
"159",22677962,"HBehrens",4112,"<5K","HBehrens"
"160",22753913,"bkufluk",134,"<5K","bkufluk"
"161",460727206,"Instachuck",5,"<5K","Instachuck"
"162",205926603,"hackweek",1,"<5K","hackweek"
"163",234489024,"TwitterComms",82,"<5K","TwitterComms"
"164",20664617,"richardjcooper",260,"<5K","richardjcooper"
"165",376825877,"TwitterOSS",5357,"<10K","TwitterOSS"
"166",16931300,"webfaction",1979,"<5K","webfaction"
"167",113713261,"ChromiumDev",4302,"<5K","ChromiumDev"
"168",83422635,NA,NA,"NA",NA
"169",32473255,"massiverobot",8,"<5K","massiverobot"
"170",500016751,"wrongdan",52,"<5K","wrongdan"
"171",110797455,"mrkrsl",2395,"<5K","mrkrsl"
"172",57433,"ptg",1211,"<5K","ptg"
"173",176565308,"h5bp",630,"<5K","h5bp"
"174",28525506,"wavish",6179,"<10K","wavish"
"175",160482915,"coderonfire",0,"<5K","coderonfire"
"176",241384809,"jshangouts",13,"<5K","jshangouts"
"177",124510372,"DownIGo",792,"<5K","DownIGo"
"178",288457344,NA,NA,"NA",NA
"179",93473293,"RegexTip",2253,"<5K","RegexTip"
"180",99765600,NA,NA,"NA",NA
"181",10760422,"daringfireball",16457,"<20K","daringfireball"
"182",44709792,NA,NA,"NA",NA
"183",172020392,"TwitterSF",1467,"<5K","TwitterSF"
"184",92638464,"twi_release",1117,"<5K","twi_release"
"185",376585411,"dart_lang",1403,"<5K","dart_lang"
"186",1581511,"macrumorslive",2864,"<5K","macrumorslive"
"187",308598960,"SFWarningSiren",54,"<5K","SFWarningSiren"
"188",805339,NA,NA,"NA",NA
"189",6844292,"TwitterEng",381,"<5K","TwitterEng"
"190",16619832,"NSFVoyager2",14171,"<20K","NSFVoyager2"
"191",165520703,"DBAHULK",161,"<5K","DBAHULK"
"192",265216716,"llamajs",932,"<5K","llamajs"
"193",38482947,"Screenr",149,"<5K","Screenr"
"194",15813140,"googlecloud",2985,"<5K","googlecloud"
"195",206379571,NA,NA,"NA",NA
"196",25489250,"DerrenBrown",13811,"<20K","DerrenBrown"
"197",217729151,NA,NA,"NA",NA
"198",554774822,"kpkLeFake",2,"<5K","kpkLeFake"
