gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2447983484	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/35055951	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.503601	-101.953081	28957.0						2019-10-17T00:00:00Z	17	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	35055951			2019-10-29T18:35:03Z	CC_BY_NC_4_0	ellen hildebrandt	ellen hildebrandt			2019-11-08T01:24:29.930Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447976814	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/35030817	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.844342	-96.614936							2019-10-28T10:02:00Z	28	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	35030817			2019-10-29T00:33:28Z	CC_BY_NC_4_0	sehnature	sehnature			2019-11-08T01:24:23.938Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447974299	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/35022408	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.239312	-98.203239	8.0						2019-10-28T15:49:08Z	28	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	35022408			2019-10-28T20:49:39Z	CC_BY_NC_4_0	paige1313	paige1313			2019-11-08T01:24:21.547Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447964218	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34986597	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Nebraska			28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.766056	-103.942323							2019-10-26T14:33:00Z	26	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34986597			2019-10-27T23:33:19Z	CC_BY_NC_4_0	Colin Croft	Colin Croft			2019-11-08T01:24:13.492Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447963988	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34985262	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.639186	-97.933209	15.0						2019-10-26T08:31:00Z	26	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34985262			2019-10-27T23:01:21Z	CC_BY_NC_4_0	Mike Farley	Mike Farley			2019-11-08T01:24:12.122Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447946620	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34923894	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.646025	-97.85907	8277.0						2019-10-26T11:08:44Z	26	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34923894			2019-10-26T18:44:41Z	CC_BY_NC_4_0	Mary Ann Melton	Mary Ann Melton			2019-11-08T01:23:57.396Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84
2447935858	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34883266	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		MX		Distrito Federal			28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.359375	-99.174039							2019-10-24T17:02:00Z	24	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34883266			2019-10-25T19:52:39Z	CC_BY_NC_4_0	feliscatus18	feliscatus18			2019-11-08T01:23:46.461Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447934649	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34886837	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.5507	-98.765589	5.0						2019-10-25T16:19:25Z	25	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34886837			2019-10-25T21:20:33Z	CC_BY_NC_4_0	lewgorman	lewgorman			2019-11-08T01:23:45.479Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447928351	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34859175	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.549125	-98.765363							2019-10-24T12:23:00Z	24	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34859175			2019-10-25T03:55:32Z	CC_BY_NC_4_0	Jerry Morrisey	Jerry Morrisey			2019-11-08T01:23:37.408Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447928325	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34857422	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.208796	-97.479171	83.0						2019-10-24T10:34:17Z	24	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34857422			2019-10-25T02:42:26Z	CC_BY_NC_4_0	pasharp	pasharp			2019-11-08T01:23:37.429Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
