Taxon,UTMX,UTMY
Ateles belzebuth,371101,9930150
Ateles belzebuth,371104,9930147
Ateles belzebuth,371104,9930167
Ateles belzebuth,371105,9930173
Ateles belzebuth,371107,9929892
Ateles belzebuth,371107,9929892
Ateles belzebuth,371107,9929925
Ateles belzebuth,371110,9929660
Ateles belzebuth,371113,9929886
Ateles belzebuth,371117,9930316
Ateles belzebuth,371117,9930316
Ateles belzebuth,371118,9929920
Ateles belzebuth,371121.23,9929802.52
Ateles belzebuth,371121.23,9929852.52
Ateles belzebuth,371124,9929890
Ateles belzebuth,371126,9929851
Ateles belzebuth,371127,9930189
Ateles belzebuth,371127,9929549
Ateles belzebuth,371127,9930189
Ateles belzebuth,371129,9929885
Ateles belzebuth,371129.70,9929850.27
Ateles belzebuth,371130.08,9929474.94
Ateles belzebuth,371130.08,9929474.94
Ateles belzebuth,371133.18,9929455.90
Ateles belzebuth,371133.18,9929455.90
Ateles belzebuth,371135.12,9929723.73
Ateles belzebuth,371136,9930215
Ateles belzebuth,371136,9930215
Ateles belzebuth,371144,9929705
Ateles belzebuth,371145,9929987
Ateles belzebuth,371146,9929952
Ateles belzebuth,371146,9929952
Ateles belzebuth,371147,9930214
Ateles belzebuth,371153,9930398
Ateles belzebuth,371153,9930398
Ateles belzebuth,371154,9930219
Ateles belzebuth,371154,9930219
Ateles belzebuth,371156,9929914
Ateles belzebuth,371156,9929914
Ateles belzebuth,371157,9930498
Ateles belzebuth,371157,9930498
Ateles belzebuth,371160,9929859
Ateles belzebuth,371160.72,9929500.65
Ateles belzebuth,371162,9930376
Ateles belzebuth,371162,9929907
Ateles belzebuth,371162,9930376
Ateles belzebuth,371163,9930407
Ateles belzebuth,371164,9930469
Ateles belzebuth,371165.00,9929780.99
Ateles belzebuth,371170,9929739
Ateles belzebuth,371171,9930069
Ateles belzebuth,371171,9929832
Ateles belzebuth,371173.18,9929455.90
Ateles belzebuth,371174,9930469
Ateles belzebuth,371179,9930203
Ateles belzebuth,371179,9930203
Ateles belzebuth,371182,9930091
Ateles belzebuth,371182,9929508
Ateles belzebuth,371182,9930091
Ateles belzebuth,371182,9929508
Ateles belzebuth,371182.04,9929504.94
Ateles belzebuth,371186,9930714
Ateles belzebuth,371191.19,9929816.52
Ateles belzebuth,371197,9929814
Ateles belzebuth,371201,9929999
Ateles belzebuth,371201,9930871
Ateles belzebuth,371201,9929999
Ateles belzebuth,371201,9930871
Ateles belzebuth,371202,9929808
Ateles belzebuth,371213.00,9929983.00
Ateles belzebuth,371213,9929983
Ateles belzebuth,371215,9930120
Ateles belzebuth,371215,9930120
Ateles belzebuth,371216,9929810
Ateles belzebuth,371226,9930060
Ateles belzebuth,371231,9929828
Ateles belzebuth,371239.899,9929726.015
Ateles belzebuth,371242,9929697
Ateles belzebuth,371245,9930116
Ateles belzebuth,371245,9930116
Ateles belzebuth,371245,9929636
Ateles belzebuth,371245,9930116
Ateles belzebuth,371248,9929833
Ateles belzebuth,371253.13,9929370.23
Ateles belzebuth,371253.29,9930838.59
Ateles belzebuth,371255.55,9930825.78
Ateles belzebuth,371255.55,9930825.78
Ateles belzebuth,371257,9929773
Ateles belzebuth,371257,9929773
Ateles belzebuth,371257.74,9930285.84
Ateles belzebuth,371257.74,9930285.84
Ateles belzebuth,371257.74,9930285.84
Ateles belzebuth,371257.74,9930285.84
Ateles belzebuth,371257.74,9930285.84
Ateles belzebuth,371257.74,9930285.84
Ateles belzebuth,371257.74,9930285.84
Ateles belzebuth,371257.74,9930285.84
Ateles belzebuth,371257.74,9930285.84
Ateles belzebuth,371262,9930347
Ateles belzebuth,371262,9930347
Ateles belzebuth,371262.00,9930347.00
Ateles belzebuth,371262,9930347
Ateles belzebuth,371262,9930347
Ateles belzebuth,371263.12,9930437.31
Ateles belzebuth,371264.90,9930339.87
Ateles belzebuth,371268,9929862
Ateles belzebuth,371270.66,9930220.74
Ateles belzebuth,371271.52,9930274.27
Ateles belzebuth,371274,9929999
Ateles belzebuth,371276,9930250
Ateles belzebuth,371276,9930250
Ateles belzebuth,371282,9929978
Ateles belzebuth,371285,9929462
Ateles belzebuth,371285,9929462
Ateles belzebuth,371286.48,9930415.65
Ateles belzebuth,371286.48,9930445.65
Ateles belzebuth,371286.59,9930445.72
Ateles belzebuth,371289.87,9930257.63
Ateles belzebuth,371292.91,9930092.68
Ateles belzebuth,371293.54,9930064.66
Ateles belzebuth,371293.54,9930064.66
Ateles belzebuth,371293.54,9930064.66
Ateles belzebuth,371293.54,9930064.66
Ateles belzebuth,371294.86,9929884.51
Ateles belzebuth,371294.86,9929884.51
Ateles belzebuth,371294.86,9929884.51
Ateles belzebuth,371296.43,9929395.23
Ateles belzebuth,371301,9929757
Ateles belzebuth,371304,9929796
Ateles belzebuth,371304,9929669
Ateles belzebuth,371304,9929796
Ateles belzebuth,371305.07,9930031.51
Ateles belzebuth,371306.53,9930072.16
Ateles belzebuth,371306.53,9930072.16
Ateles belzebuth,371306.53,9930072.16
Ateles belzebuth,371306.53,9930072.16
Ateles belzebuth,371308,9929765
Ateles belzebuth,371310,9929758
Ateles belzebuth,371313,9930686
Ateles belzebuth,371317,9930066
Ateles belzebuth,371320,9929583
Ateles belzebuth,371320,9929583
Ateles belzebuth,371322.27,9929785.75
Ateles belzebuth,371323,9930320
Ateles belzebuth,371329,9930322
Ateles belzebuth,371333,9929868
Ateles belzebuth,371335,9929867
Ateles belzebuth,371336.83,9930427.21
Ateles belzebuth,371336.83,9930427.21
Ateles belzebuth,371336.83,9930427.21
Ateles belzebuth,371339.96,9930136.34
Ateles belzebuth,371339.96,9930136.34
Ateles belzebuth,371339.96,9930136.34
Ateles belzebuth,371339.96,9930136.34
Ateles belzebuth,371339.96,9930136.34
Ateles belzebuth,371340.66,9930220.74
Ateles belzebuth,371342,9930293
Ateles belzebuth,371344.82,9930003.51
Ateles belzebuth,371346,9930329
Ateles belzebuth,371360.57,9930434.86
Ateles belzebuth,371360.64,9929860.57
Ateles belzebuth,371360.64,9929860.57
Ateles belzebuth,371360.64,9929860.57
Ateles belzebuth,371360.64,9929860.57
Ateles belzebuth,371362.91,9930092.68
Ateles belzebuth,371362.91,9930092.68
Ateles belzebuth,371362.91,9930092.68
Ateles belzebuth,371363.57,9930470.83
Ateles belzebuth,371363.91,9930178.69
Ateles belzebuth,371366.53,9930072.16
Ateles belzebuth,371367,9929749
Ateles belzebuth,371367,9929749
Ateles belzebuth,371368.11,9930175.17
Ateles belzebuth,371374,9929876
Ateles belzebuth,371376,9930323
Ateles belzebuth,371376,9930323
Ateles belzebuth,371377.55,9930150.02
Ateles belzebuth,371377.67,9930387.88
Ateles belzebuth,371378,9930040
Ateles belzebuth,371378.57,9930444.85
Ateles belzebuth,371378.57,9930444.85
Ateles belzebuth,371379.9712,9929442.659
Ateles belzebuth,371380,9929588
Ateles belzebuth,371380,9930045
Ateles belzebuth,371380.60,9929731.72
Ateles belzebuth,371382.25,9930081.88
Ateles belzebuth,371382.25,9930081.88
Ateles belzebuth,371383,9930037
Ateles belzebuth,371383,9930037
Ateles belzebuth,371383.62,9929841.28
Ateles belzebuth,371388,9930190
Ateles belzebuth,371390.27,9930167.86
Ateles belzebuth,371392.00,9930047.00
Ateles belzebuth,371392.00,9930047.00
Ateles belzebuth,371392.00,9930047.00
Ateles belzebuth,371392.00,9930017.00
Ateles belzebuth,371392.00,9930047.00
Ateles belzebuth,371392,9930047
Ateles belzebuth,371393,9930171
Ateles belzebuth,371397,9930376
Ateles belzebuth,371397.60,9929812.70
Ateles belzebuth,371399,9930092
Ateles belzebuth,371399.00,9930092.00
Ateles belzebuth,371399,9930092
Ateles belzebuth,371399.04,9930065.71
Ateles belzebuth,371400,9929601
Ateles belzebuth,371400,9929601
Ateles belzebuth,371400,9929601
Ateles belzebuth,371402.25,9930081.88
Ateles belzebuth,371404.28,9929524.96
Ateles belzebuth,371410.54,9930110.16
Ateles belzebuth,371412,9930146
Ateles belzebuth,371415,9930446
Ateles belzebuth,371415,9930446
Ateles belzebuth,371415.03,9929627.03
Ateles belzebuth,371416,9930306
Ateles belzebuth,371416,9930362
Ateles belzebuth,371416,9930306
Ateles belzebuth,371416,9930362
Ateles belzebuth,371417,9930915
Ateles belzebuth,371417,9930915
Ateles belzebuth,371418,9929896
Ateles belzebuth,371419,9930323
Ateles belzebuth,371419.00,9930323.00
Ateles belzebuth,371419.00,9930323.00
Ateles belzebuth,371419,9930323
Ateles belzebuth,371419,9930134
Ateles belzebuth,371421,9930735
Ateles belzebuth,371421,9930735
Ateles belzebuth,371423.30,9929986.15
Ateles belzebuth,371426,9930117
Ateles belzebuth,371427,9930718
Ateles belzebuth,371427,9930718
Ateles belzebuth,371430,9929481
Ateles belzebuth,371432.44,9929843.62
Ateles belzebuth,371432.44,9929843.62
Ateles belzebuth,371434,9930378
Ateles belzebuth,371434,9930378
Ateles belzebuth,371434.01,9930008.49
Ateles belzebuth,371434.01,9930008.49
Ateles belzebuth,371435.55,9929570.64
Ateles belzebuth,371436,9930129
Ateles belzebuth,371443.30,9929986.15
Ateles belzebuth,371443.30,9929986.15
Ateles belzebuth,371443.30,9929986.15
Ateles belzebuth,371446,9930277
Ateles belzebuth,371446.00,9930277.00
Ateles belzebuth,371446,9930277
Ateles belzebuth,371448,9929899
Ateles belzebuth,371453,9929641
Ateles belzebuth,371453,9929641
Ateles belzebuth,371458.42,9929668.56
Ateles belzebuth,371462,9930260
Ateles belzebuth,371471,9930699
Ateles belzebuth,371471,9930107
Ateles belzebuth,371471,9930699
Ateles belzebuth,371473.58,9929757.59
Ateles belzebuth,371473.58,9929757.59
Ateles belzebuth,371473.94,9929991.86
Ateles belzebuth,371473.94,9930011.86
Ateles belzebuth,371473.94,9930011.86
Ateles belzebuth,371473.94,9930011.86
Ateles belzebuth,371476.25,9929708.95
Ateles belzebuth,371476.25,9929708.95
Ateles belzebuth,371477,9930894
Ateles belzebuth,371477,9930894
Ateles belzebuth,371480.77,9929851.26
Ateles belzebuth,371480.77,9929851.26
Ateles belzebuth,371484,9929657
Ateles belzebuth,371484.50,9929875.75
Ateles belzebuth,371488,9929683
Ateles belzebuth,371488,9929683
Ateles belzebuth,371489.56,9929937.85
Ateles belzebuth,371491.00,9930736.00
Ateles belzebuth,371491,9929884
Ateles belzebuth,371493.86,9929904.40
Ateles belzebuth,371497,9929904
Ateles belzebuth,371501,9929792
Ateles belzebuth,371501,9929936
Ateles belzebuth,371502,9929535
Ateles belzebuth,371502,9929535
Ateles belzebuth,371504,9929481
Ateles belzebuth,371506,9930979
Ateles belzebuth,371506,9930037
Ateles belzebuth,371506,9930979
Ateles belzebuth,371507,9930377
Ateles belzebuth,371510,9929880
Ateles belzebuth,371511,9929990
Ateles belzebuth,371513,9930885
Ateles belzebuth,371513,9930885
Ateles belzebuth,371514,9929892
Ateles belzebuth,371515,9930018
Ateles belzebuth,371515,9930128
Ateles belzebuth,371516,9930372
Ateles belzebuth,371516,9930372
Ateles belzebuth,371518.86,9929861.10
Ateles belzebuth,371518.86,9929881.10
Ateles belzebuth,371518.86,9929861.10
Ateles belzebuth,371518.86,9929861.10
Ateles belzebuth,371518.86,9929861.10
Ateles belzebuth,371521,9930736
Ateles belzebuth,371521.00,9930736.00
Ateles belzebuth,371521.00,9930736.00
Ateles belzebuth,371521.00,9930736.00
Ateles belzebuth,371521,9930736
Ateles belzebuth,371525,9930730
Ateles belzebuth,371529,9930654
Ateles belzebuth,371539,9930062
Ateles belzebuth,371539,9930062
Ateles belzebuth,371541,9930647
Ateles belzebuth,371541,9930647
Ateles belzebuth,371544,9930091
Ateles belzebuth,371544,9930049
Ateles belzebuth,371544,9930091
Ateles belzebuth,371546,9930085
Ateles belzebuth,371551.18,9929856.79
Ateles belzebuth,371555,9930027
Ateles belzebuth,371555,9930027
Ateles belzebuth,371570.14,9930021.68
Ateles belzebuth,371571,9929672
Ateles belzebuth,371571,9929672
Ateles belzebuth,371576,9929896
Ateles belzebuth,371582,9930008
Ateles belzebuth,371583,9930037
Ateles belzebuth,371583,9930037
Ateles belzebuth,371586,9929897
Ateles belzebuth,371593,9929864
Ateles belzebuth,371594,9930038
Ateles belzebuth,371595.86,9930052.32
Ateles belzebuth,371598,9930031
Ateles belzebuth,371606,9930089
Ateles belzebuth,371606,9930089
Ateles belzebuth,371610.74,9929718.44
Ateles belzebuth,371610.74,9929718.44
