id,phylo,age,tree,sex,DLM3L,DLM2L,DLM1L,DLP4L,DLM3AW,DLM2AW,MMC,Subfamily,PMM
354986,Papio_hamadryas,extant,y,M,NA,15.71456333,13.10799333,9.908008,NA,12.11921667,NA,Cercopithecoid,1.586046694
354987,Papio_hamadryas,extant,y,M,17.17608,15.81025667,13.10277667,10.55201,17.17608,12.83031667,1.310873293,Cercopithecoid,1.498317067
354988,Papio_hamadryas,extant,y,M,19.29245333,15.17663,12.37829667,10.167431,19.29245333,11.58179333,1.558570929,Cercopithecoid,1.492671059
354989,Papio_hamadryas,extant,y,M,21.21522667,15.21895667,12.65605333,9.708149333,21.21522667,13.22515,1.676290871,Cercopithecoid,1.567647566
354991,Papio_hamadryas,extant,y,F,NA,13.45295333,11.32599333,9.356884667,NA,11.69964,NA,Cercopithecoid,1.437759875
354992,Papio_hamadryas,extant,y,F,17.44136667,14.20978333,11.53681,9.929372333,17.44136667,11.41927,1.5118015,Cercopithecoid,1.431085758
354993,Papio_hamadryas,extant,y,M,20.09863333,15.98844333,13.23199667,10.36897667,20.09863333,12.08453333,1.518941838,Cercopithecoid,1.541949976
384219,Papio_hamadryas,extant,y,F,17.03762,13.69929,11.35013333,9.315583333,17.03762,11.57222667,1.50109426,Cercopithecoid,1.470577795
384220,Papio_hamadryas,extant,y,M,17.79611333,13.82499667,11.97903667,9.282735667,17.79611333,11.58345333,1.485604713,Cercopithecoid,1.489323532
384221,Papio_hamadryas,extant,y,F,18.87858,14.13560667,11.79190667,9.789483333,18.87858,11.73135667,1.600977733,Cercopithecoid,1.443958398
384222,Papio_hamadryas,extant,y,F,18.80231,14.38067,12.014125,8.896453,18.80231,11.43658,1.565017011,Cercopithecoid,1.616449837
384223,Papio_hamadryas,extant,y,M,20.80745333,15.67324667,13.75243667,10.101081,20.80745333,12.18033667,1.513001211,Cercopithecoid,1.551640529
384224,Papio_hamadryas,extant,y,F,15.79367,13.21278,11.44643333,9.531556,15.79367,10.72756333,1.379789629,Cercopithecoid,1.386214381
