Ind.ID origin.pop pred.pop BM BN ITCS SICO SP CROA FR GR MAC
BM_1 BM GR 0.342210773920775 0.0251042014207761 0.00519638910277912 0.0163826222103979 0.00826612626783339 0.0137492504579658 0.00816961539361309 0.523499374802563 0.0574216464232959
BM_2 BM GR 0.337983464599306 0.0286000777962876 0.00772832978963274 0.0134719693489979 0.0133348982059486 0.0109922107390149 0.0156431794027902 0.515579250532335 0.0566666195856867
BM_3 BM GR 0.345822717828894 0.0271395694293093 0.00385075465195345 0.00762024974946209 0.00671042757994378 0.0142934181605352 0.00506208077450914 0.531593977208968 0.0579068046164263
BM_4 BM GR 0.33361949039961 0.0401299030043955 0.00984479693795646 0.00730869626939092 0.00947517924312416 0.0335573842678951 0.00781409868301015 0.507962148922987 0.0502883022716312
BM_5 BM GR 0.350042603702215 0.0272526309399852 0.00214131483236814 0.00357566462102818 0.00448135988443352 0.0133502423639531 0.00249778810029626 0.538659231977759 0.057999163577962
BM_6 BM GR 0.324258429949399 0.0337359679596805 0.0147971587986766 0.0217509850981521 0.0132243539388352 0.0214956802496091 0.0187434984397519 0.49847933469989 0.0535145908660058
BM_8 BM GR 0.312694966239022 0.0318818311518397 0.0194170098223612 0.0400221797121797 0.017721508471826 0.0170350182300882 0.0320122762538556 0.475532400066718 0.0536828100521092
BM_9 BM GR 0.326151601395464 0.0354738053544373 0.0150456648666724 0.0194596097239521 0.0181942518227085 0.0145008928628707 0.0251937180160358 0.49256443900471 0.0534160169531486
BM_10 BM GR 0.342783773753056 0.0282088965970005 0.00507773653380267 0.00812576153904187 0.00692026920796367 0.0183770055197324 0.00613613968083629 0.526381186596224 0.0579892305723431
BM_11 BM GR 0.306792622811542 0.0418260243750567 0.0337329384136324 0.0214859596203654 0.0199313676918082 0.0329862017190561 0.0282502807630011 0.470503087909898 0.0444915166956396
BM_13 BM GR 0.32540057507052 0.0338625008569106 0.0135119343630896 0.0241529286073143 0.0164114126938832 0.0152226164664479 0.0223885065563008 0.493471424091805 0.0555781012937292
BM_16 BM GR 0.345053178044961 0.0280239947233209 0.00566080054057304 0.006830104964264 0.00771093165590776 0.0140701497005777 0.00669328109088549 0.529009464018416 0.0569480952610942
BM_18 BM GR 0.333842277637033 0.0296386415084406 0.00879150639934222 0.0342810442909736 0.0163295706083148 0.0122937693842254 0.0200019074645003 0.48506238498488 0.0597588977222904
BM_19 BM GR 0.33915779549501 0.0377476386563583 0.00697205327227279 0.00710506139370578 0.00885230988046361 0.0203208073412541 0.00639344488618736 0.519985501990893 0.053465387083855
BM_20 BM GR 0.346734046131159 0.0281688014887131 0.00247919976006131 0.00365459001562468 0.00418971091164831 0.0198834032820664 0.00269422885346073 0.53318617393307 0.0590098456241971
BM_22 BM GR 0.327076143151318 0.0281324159007504 0.0121366710509742 0.0232253027249699 0.0179150726897967 0.0112755353113711 0.0289847967948452 0.494162382837424 0.0570916795385492
BM_23 BM GR 0.345508068974856 0.0230221305628987 0.00472642312316847 0.0132711602134421 0.00768468653864351 0.0116447294663687 0.00760871333722388 0.529842158450677 0.0566919293327214
BM_25 BM GR 0.334915314851338 0.0241177838258377 0.00869726078360686 0.0391046759858368 0.0167852922346313 0.010569420887893 0.0241512560409996 0.481889991821311 0.0597690035685463
BM_29 BM GR 0.333898410247479 0.0286256449547864 0.0110774105021198 0.0147654124652093 0.011525410268708 0.0150964031589706 0.0152868659617528 0.514205160327268 0.0555192821137064
BM_31 BM GR 0.321031861699907 0.0395495280428054 0.0215182239819975 0.013043811406139 0.0135916575638226 0.0357405158755607 0.0172670754969933 0.491535426922592 0.0467218990101829
BM_33 BM GR 0.337352941181557 0.0379368166483181 0.00875169077020313 0.00483396182769255 0.00712044371158749 0.0396602626164567 0.00644478326299302 0.503883317921041 0.0540157820601503
BM_34 BM GR 0.304857021611354 0.042263720226536 0.034294927852797 0.0191409972822779 0.0179699441711091 0.0419045250946009 0.0263376780080739 0.470142442839235 0.0430887429140172
