row,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
21,Paid leave shouldn't be a luxury. It's a basic necessity that we should secure for every working American. https://t.co/OPeQiVPJlK,FALSE,17638,NA,10/1/16 14:00,FALSE,NA,7.82E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,5205,FALSE,FALSE,NA,NA
22,"Our Olympians and Paralympians show the world that no matter what, with perseverance, we can do incredible things. Proud of you, #TeamUSA.",FALSE,23188,NA,9/29/16 23:38,FALSE,NA,7.82E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,4133,FALSE,FALSE,NA,NA
23,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,FALSE,98714,NA,9/27/16 23:04,FALSE,NA,7.81E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,25327,FALSE,FALSE,NA,NA
24,Democracy is not a spectator sport. Don't give up your power to shape the future of the country we love. Vote: https://t.co/sUxB8TLc5r,FALSE,35854,NA,9/27/16 16:39,FALSE,NA,7.81E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,16900,FALSE,FALSE,NA,NA
25,"Here's to The King who was as extraordinary on the links as he was generous to others. Thanks for the memories, Arn... https://t.co/r4dLQqt45A",FALSE,51815,NA,9/26/16 3:14,TRUE,NA,7.80E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,12110,FALSE,FALSE,NA,NA
26,Proud to help open @NMAAHC with so many heroes. African American history is a central part of our glorious American history.,FALSE,24527,NA,9/24/16 14:04,FALSE,NA,7.80E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,8401,FALSE,FALSE,NA,NA
27,"Sabaidii, Laos! Honored to be the first U.S. president to visit Laos and to begin a new partnership between our countries.",FALSE,28519,NA,9/6/16 1:30,FALSE,NA,7.73E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS,6002,FALSE,FALSE,NA,NA
28,"Happy Labor Day - longest streak of job growth ever, unemployment cut in half. That's what hardworking Americans can do. Let's keep going!",FALSE,58734,NA,9/5/16 16:57,FALSE,NA,7.73E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS,16111,FALSE,FALSE,NA,NA
29,Congrats to NASA and the scientists taking us a step closer to Mars. Now enjoy Hawaii and get a shave ice! https://t.co/lFZjSnn38x,FALSE,21465,NA,8/29/16 16:28,FALSE,NA,7.70E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,5894,FALSE,FALSE,NA,NA
30,"Congratulations to Maine-Endwell, Little League World Series Champs and still undefeated! Proud of you and the sportsmanship you showed.",FALSE,24705,NA,8/29/16 0:08,FALSE,NA,7.70E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,5010,FALSE,FALSE,NA,NA
31,"Nearly 100 years ago, women broke down barriers to the ballot box, moving us closer to a more equal nation. Let's finish what they started.",FALSE,71301,NA,8/26/16 16:08,FALSE,NA,7.69E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,24592,FALSE,FALSE,NA,NA
32,"100 years and going strong. Thanks @NatlParkService for your service, so our kids enjoy our parks as much as we have https://t.co/1v3W2HLD6f",FALSE,33404,NA,8/25/16 18:05,FALSE,NA,7.69E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",POTUS,7965,FALSE,FALSE,NA,NA
33,"Felicitaciones, @JuanManSantos and Colombia. After decades of war, we stand with you in building a future of peace. https://t.co/haXJaqgS9f",FALSE,17543,NA,8/25/16 15:32,FALSE,NA,7.69E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,10041,FALSE,FALSE,NA,NA
34,"Couldn't be prouder of #TeamUSA. Your determination and passion inspired so many of us. You carried that flag high tonight, @Simone_Biles!",FALSE,78249,NA,8/22/16 1:07,FALSE,NA,7.68E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,17277,FALSE,FALSE,NA,NA
35,Final win for Phelps. World record for Ledecky. 3 #1 finishes for Biles. That's how #TeamUSA gets America to 1000 golds-way to make history.,FALSE,74381,NA,8/14/16 23:06,FALSE,NA,7.65E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,16226,FALSE,FALSE,NA,NA
36,"Been waiting to drop this: summer playlist, the encore. What's everybody listening to? https://t.co/mqh1YVrycj",FALSE,250894,NA,8/11/16 14:31,FALSE,NA,7.64E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,120384,FALSE,FALSE,NA,NA
37,The struggle for the Voting Rights Act taught us that people who love this country can change it. Don't give away your power - go vote.,FALSE,49711,NA,8/6/16 20:59,FALSE,NA,7.62E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,19702,FALSE,FALSE,NA,NA
38,"Tonight, the first-ever #TeamRefugees will also stand before the world and prove that you can succeed no matter where you're from.",FALSE,43159,POTUS,8/5/16 23:22,FALSE,7.62E+17,7.62E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,15521,FALSE,FALSE,NA,NA
39,Ready to root on #TeamUSA! Our team's unity and diversity makes us so proud - and reminds the world why America sets the gold standard.,FALSE,42714,NA,8/5/16 23:21,FALSE,NA,7.62E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,10837,FALSE,FALSE,NA,NA
40,"Longest streak of total job growth on record, wages rising at fastest pace in 7 years. We've come a long way, America!let's keep it going.",FALSE,45702,NA,8/5/16 19:11,FALSE,NA,7.62E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,12939,FALSE,FALSE,NA,NA
